corner,temp,resistor,supply,dropout,line_reg
ff_tt,0,180,2.5,1.37170000e-02,1.28625000e-03
sf_hl,85,36000.0,2.1,1.78000000e-04,2.77750000e-03
ss_hl,85,36000.0,2.3,error,error
ff_lh,85,36000.0,2.1,1.21000000e-04,2.61875000e-03
ff_tt,0,36000.0,2.5,error,error
tt_hh,27,36000.0,2.3,1.25000000e-04,3.87500000e-05
sf_hl,0,18,2.1,error,error
ss_hl,0,18,2.3,3.11590000e-02,9.64877500e-01
ff_hl,85,180,2.3,error,error
ff_lh,0,18,2.1,error,error
tt_lh,85,18,2.5,1.84156000e-01,5.70375000e-03
sf_hl,0,180,2.1,error,error
ss_hl,0,180,2.3,error,error
ff_lh,0,180,2.1,1.37180000e-02,1.32375000e-03
ff_tt,27,180,2.5,error,error
tt_lh,85,180,2.5,1.90080000e-02,2.89000000e-03
sf_hl,0,36000.0,2.1,error,error
ss_hl,0,36000.0,2.3,error,error
ff_lh,0,36000.0,2.1,error,error
ff_tt,27,36000.0,2.5,1.05000000e-04,1.27500000e-04
tt_lh,85,36000.0,2.5,1.44000000e-04,2.81500000e-03
sf_hl,27,18,2.1,2.12014000e-01,4.97250000e-03
ss_hl,27,18,2.3,error,error
ff_lh,27,18,2.1,1.41865000e-01,1.02500000e-04
ff_tt,85,18,2.1,1.56250000e-01,2.95375000e-03
tt_lh,0,18,2.5,error,error
sf_hl,27,180,2.1,2.23710000e-02,2.38750000e-04
ss_hl,27,180,2.3,2.14050000e-02,1.82500000e-04
ff_lh,27,180,2.1,error,error
ff_tt,85,180,2.1,1.59710000e-02,1.00075000e+00
tt_lh,0,180,2.5,error,error
sf_hl,27,36000.0,2.1,1.62000000e-04,1.47500000e-04
ss_hl,27,36000.0,2.3,error,error
ff_lh,27,36000.0,2.1,error,error
ff_tt,85,36000.0,2.1,1.19000000e-04,2.55875000e-03
tt_lh,0,36000.0,2.5,1.21000000e-04,1.30500000e-03
sf_hl,85,180,2.1,2.40720000e-02,2.88750000e-03
sf_hl,85,18,2.3,2.28803000e-01,3.77762500e-02
ss_lh,85,18,2.5,2.21233000e-01,4.66487500e-02
ff_lh,85,18,2.3,error,error
ff_tt,0,18,2.1,error,error
tt_lh,27,18,2.5,1.68464000e-01,4.02500000e-04
sf_hl,85,180,2.3,2.40720000e-02,2.88750000e-03
ss_lh,85,180,2.5,2.31640000e-02,3.20250000e-03
ff_lh,85,180,2.3,error,error
ff_tt,0,180,2.1,1.37170000e-02,1.28625000e-03
tt_lh,27,180,2.5,error,error
sf_hl,85,36000.0,2.3,1.78000000e-04,2.77750000e-03
