corner,temp,resistor,supply,pm
tt_hh,85,18,2.1,error
fs_hh,27,180,2.1,error
fs_ll,0,180,2.3,error
tt_hh,85,180,2.1,error
tt_lh,0,180,2.3,error
fs_hh,27,36000.0,2.1,6.85513100e+01
fs_ll,0,36000.0,2.3,6.71615300e+01
tt_hh,85,36000.0,2.1,6.63732400e+01
tt_lh,0,36000.0,2.3,6.45068200e+01
fs_hh,85,18,2.5,error
fs_ll,27,18,2.3,error
tt_hh,0,18,2.1,error
tt_lh,27,18,2.3,error
fs_hh,85,180,2.5,error
fs_ll,27,180,2.3,error
tt_hh,0,180,2.1,error
tt_lh,27,180,2.3,error
fs_hh,85,36000.0,2.5,6.66169500e+01
fs_ll,27,36000.0,2.3,6.71831300e+01
tt_hh,0,36000.0,2.1,error
tt_lh,27,36000.0,2.3,6.46928700e+01
ff_ll,85,180,2.1,error
fs_hh,0,18,2.5,error
fs_tt,85,18,2.1,error
tt_hh,27,18,2.1,error
tt_ll,85,180,2.1,error
fs_hh,0,180,2.5,error
fs_tt,85,180,2.1,error
tt_hh,27,180,2.1,error
tt_ll,85,18,2.1,error
tt_lh,0,18,2.3,error
tt_ll,85,36000.0,2.1,6.63391300e+01
fs_hh,0,36000.0,2.5,6.63157900e+01
fs_tt,85,36000.0,2.1,6.89030600e+01
tt_hh,27,36000.0,2.1,6.58959800e+01
tt_ll,0,18,2.1,error
fs_hh,27,18,2.5,error
fs_tt,0,18,2.1,error
tt_hh,85,18,2.5,error
tt_ll,0,180,2.1,error
fs_hh,27,180,2.5,error
fs_tt,0,180,2.1,error
tt_hh,85,180,2.5,error
fs_hh,27,36000.0,2.5,6.63106700e+01
fs_tt,0,36000.0,2.1,6.83258000e+01
tt_hh,85,36000.0,2.5,6.38922400e+01
tt_ll,0,36000.0,2.1,error
fs_hh,85,18,2.3,error
fs_tt,27,18,2.1,error
tt_hh,0,18,2.5,error
tt_ll,27,180,2.1,error
fs_hh,85,180,2.3,error
fs_tt,27,180,2.1,error
tt_hh,0,180,2.5,error
tt_ll,27,18,2.1,error
tt_ll,27,36000.0,2.1,6.59168900e+01
fs_hh,85,36000.0,2.3,6.75140100e+01
fs_tt,27,36000.0,2.1,6.85195600e+01
tt_hh,0,36000.0,2.5,6.35818400e+01
tt_ll,85,18,2.5,error
fs_hh,0,18,2.3,error
fs_tt,85,18,2.5,error
tt_hh,27,18,2.5,error
tt_ll,85,180,2.5,error
fs_hh,0,180,2.3,error
fs_tt,85,180,2.5,error
tt_hh,27,180,2.5,error
fs_hh,0,36000.0,2.3,6.71720000e+01
fs_tt,85,36000.0,2.5,6.66269600e+01
tt_hh,27,36000.0,2.5,6.36835400e+01
fs_hh,27,18,2.3,error
fs_tt,0,18,2.5,error
tt_hh,85,18,2.3,error
tt_ll,85,36000.0,2.5,6.38724200e+01
tt_ll,0,180,2.5,error
fs_hh,27,180,2.3,error
fs_tt,0,180,2.5,error
tt_hh,85,180,2.3,error
tt_ll,0,18,2.5,error
tt_ll,0,36000.0,2.5,error
fs_hh,27,36000.0,2.3,6.72535100e+01
fs_tt,0,36000.0,2.5,6.63140100e+01
tt_hh,85,36000.0,2.3,6.48694400e+01
tt_ll,27,18,2.5,error
fs_hl,85,18,2.1,error
fs_tt,27,18,2.5,error
tt_hh,0,18,2.3,error
fs_hl,85,180,2.1,error
fs_tt,27,180,2.5,error
tt_hh,0,180,2.3,error
fs_hl,85,36000.0,2.1,6.88895900e+01
fs_tt,27,36000.0,2.5,6.62906100e+01
tt_hh,0,36000.0,2.3,error
ss_hh,0,18,2.3,error
ff_ll,27,18,2.1,error
ss_hh,0,180,2.3,error
ff_ll,27,180,2.1,error
fs_ll,0,18,2.3,error
ss_hh,0,36000.0,2.3,error
ff_ll,27,36000.0,2.1,6.78351600e+01
ss_hh,27,18,2.3,error
ff_ll,85,18,2.5,error
ss_hh,27,180,2.3,error
ff_ll,85,180,2.5,error
ss_hh,27,36000.0,2.3,6.29237300e+01
ff_ll,85,36000.0,2.5,6.59556100e+01
ss_hl,85,18,2.1,error
ff_ll,0,18,2.5,error
ss_hl,85,180,2.1,error
ff_ll,0,180,2.5,error
ss_hl,85,36000.0,2.1,6.46201300e+01
ff_ll,0,36000.0,2.5,error
ss_hl,0,18,2.1,error
ff_ll,27,18,2.5,error
ss_hl,0,180,2.1,error
ff_ll,27,180,2.5,error
ss_hl,0,36000.0,2.1,error
ff_ll,27,36000.0,2.5,6.55691100e+01
ss_hl,27,18,2.1,error
ff_ll,85,18,2.3,error
ss_hl,27,180,2.1,error
ff_ll,85,180,2.3,error
ss_hl,27,36000.0,2.1,6.41451200e+01
ff_ll,85,36000.0,2.3,6.68395200e+01
ss_hl,85,18,2.5,error
ff_ll,0,18,2.3,error
ss_hl,85,180,2.5,error
ff_ll,0,180,2.3,error
ss_hl,85,36000.0,2.5,6.20591700e+01
ff_ll,0,36000.0,2.3,6.64915100e+01
ss_hl,0,18,2.5,error
ff_ll,27,18,2.3,error
ss_hl,0,180,2.5,error
ff_ll,27,180,2.3,error
ss_hl,0,36000.0,2.5,6.18932200e+01
ff_ll,27,36000.0,2.3,6.64793800e+01
ss_hl,27,18,2.5,error
ff_tt,85,18,2.1,error
ss_hl,27,180,2.5,error
ff_tt,85,180,2.1,error
ss_hl,27,36000.0,2.5,6.19775600e+01
ff_tt,85,36000.0,2.1,6.81988300e+01
sf_hh,0,18,2.5,error
sf_lh,27,18,2.1,error
fs_lh,27,18,2.3,error
ff_hl,0,18,2.5,error
sf_hh,0,180,2.5,error
sf_lh,27,180,2.1,error
fs_lh,27,180,2.3,error
ff_hl,0,180,2.5,error
sf_hh,0,36000.0,2.5,error
sf_lh,27,36000.0,2.1,6.35589000e+01
fs_lh,27,36000.0,2.3,6.71921700e+01
ff_hl,0,36000.0,2.5,6.56262300e+01
sf_hh,27,18,2.5,error
sf_lh,85,18,2.5,error
fs_ll,85,18,2.1,error
ff_hl,27,18,2.5,error
sf_hh,27,180,2.5,error
sf_lh,85,180,2.5,error
fs_ll,85,180,2.1,error
ff_hl,27,180,2.5,error
sf_hh,27,36000.0,2.5,6.13682500e+01
sf_lh,85,36000.0,2.5,6.14692400e+01
fs_ll,85,36000.0,2.1,6.89132100e+01
ff_hl,27,36000.0,2.5,6.55753200e+01
sf_hh,85,180,2.5,error
sf_lh,0,18,2.5,error
fs_ll,0,18,2.1,error
ff_hl,85,18,2.3,error
sf_hh,85,180,2.3,error
sf_lh,0,180,2.5,error
fs_ll,0,180,2.1,error
ff_hl,85,180,2.3,error
sf_hh,85,36000.0,2.3,6.27081800e+01
sf_lh,0,36000.0,2.5,error
fs_ll,0,36000.0,2.1,6.83170600e+01
ff_hl,85,36000.0,2.3,6.68141500e+01
sf_hh,85,18,2.3,error
sf_lh,27,18,2.5,error
fs_ll,27,18,2.1,error
ff_hl,0,18,2.3,error
sf_hh,0,180,2.3,error
sf_lh,27,180,2.5,error
fs_ll,27,180,2.1,error
ff_hl,0,180,2.3,error
sf_hh,0,36000.0,2.3,error
sf_lh,27,36000.0,2.5,6.14041200e+01
fs_ll,27,36000.0,2.1,6.84914300e+01
ff_hl,0,36000.0,2.3,error
sf_hh,27,18,2.3,error
sf_lh,85,18,2.3,error
fs_ll,85,18,2.5,error
ff_hl,27,18,2.3,error
sf_hh,27,180,2.3,error
sf_lh,85,180,2.3,error
fs_ll,85,180,2.5,error
ff_hl,27,180,2.3,error
sf_hh,27,36000.0,2.3,6.23257200e+01
sf_lh,85,36000.0,2.3,6.26492300e+01
fs_ll,85,36000.0,2.5,6.66434700e+01
ff_hl,27,36000.0,2.3,6.66130100e+01
sf_hh,0,18,2.3,error
sf_lh,0,18,2.3,error
fs_ll,0,18,2.5,error
ff_lh,85,18,2.1,error
sf_hl,85,180,2.1,error
sf_lh,0,180,2.3,error
fs_ll,0,180,2.5,error
ff_lh,85,180,2.1,error
sf_hl,85,36000.0,2.1,6.39714300e+01
sf_lh,0,36000.0,2.3,error
fs_ll,0,36000.0,2.5,6.63171400e+01
ff_lh,85,36000.0,2.1,6.82177400e+01
sf_hl,0,18,2.1,error
sf_lh,27,18,2.3,error
fs_ll,27,18,2.5,error
ff_lh,0,18,2.1,error
sf_hl,0,180,2.1,error
sf_lh,27,180,2.3,error
fs_ll,27,180,2.5,error
ff_lh,0,180,2.1,error
sf_hl,0,36000.0,2.1,error
sf_lh,27,36000.0,2.3,6.23407100e+01
fs_ll,27,36000.0,2.5,6.62751400e+01
ff_lh,0,36000.0,2.1,error
sf_hl,85,18,2.1,error
sf_ll,85,18,2.1,error
fs_ll,85,18,2.3,error
ff_lh,27,18,2.1,error
sf_hl,27,180,2.1,error
sf_ll,85,180,2.1,error
fs_ll,85,180,2.3,error
ff_lh,27,180,2.1,error
sf_hl,27,36000.0,2.1,6.35482500e+01
sf_ll,85,36000.0,2.1,6.40625900e+01
fs_ll,85,36000.0,2.3,6.75379600e+01
ff_lh,27,36000.0,2.1,6.78437100e+01
ss_tt,85,18,2.5,error
fs_hl,0,18,2.1,error
fs_tt,85,18,2.3,error
tt,27,180,2.5,error
ss_tt,85,180,2.5,error
fs_hl,0,180,2.1,error
fs_tt,85,180,2.3,error
tt,0,36000.0,2.5,6.35627600e+01
tt,27,18,2.5,error
ss_tt,85,36000.0,2.5,6.20492300e+01
fs_hl,0,36000.0,2.1,6.83308200e+01
fs_tt,85,36000.0,2.3,6.75229500e+01
tt,27,36000.0,2.5,6.36517600e+01
tt,85,18,2.3,error
ss_tt,0,18,2.5,error
fs_hl,27,18,2.1,error
fs_tt,0,18,2.3,error
tt,85,180,2.3,error
ss_tt,0,180,2.5,error
fs_hl,27,180,2.1,error
fs_tt,0,180,2.3,error
ss_tt,0,36000.0,2.5,6.18653400e+01
fs_hl,27,36000.0,2.1,6.85431800e+01
fs_tt,0,36000.0,2.3,6.71645100e+01
tt,85,36000.0,2.3,6.48587200e+01
tt,0,18,2.3,error
ss_tt,27,18,2.5,error
fs_hl,85,18,2.5,error
fs_tt,27,18,2.3,error
ss_tt,27,180,2.5,error
fs_hl,85,180,2.5,error
fs_tt,27,180,2.3,error
tt,0,180,2.3,error
tt,0,36000.0,2.3,6.45210400e+01
ss_tt,27,36000.0,2.5,6.19953700e+01
fs_hl,85,36000.0,2.5,6.66089500e+01
fs_tt,27,36000.0,2.3,6.71656400e+01
ss_tt,85,18,2.3,error
fs_hl,0,18,2.5,error
ff_hh,85,18,2.1,error
tt,27,18,2.3,error
ss_tt,85,180,2.3,error
fs_hl,0,180,2.5,error
ff_hh,85,180,2.1,error
tt,27,180,2.3,error
ss_tt,85,36000.0,2.3,6.32359100e+01
fs_hl,0,36000.0,2.5,6.63073500e+01
ff_hh,85,36000.0,2.1,6.81926900e+01
ss_tt,0,18,2.3,error
fs_hl,27,18,2.5,error
ff_hh,0,18,2.1,error
ss_tt,0,180,2.3,error
fs_hl,27,180,2.5,error
ff_hh,0,180,2.1,error
fs_hh,27,18,2.1,error
ss_tt,0,36000.0,2.3,error
fs_hl,27,36000.0,2.5,6.63019500e+01
ff_hh,0,36000.0,2.1,6.76849500e+01
ss_tt,27,18,2.3,error
fs_hl,85,18,2.3,error
ff_hh,27,18,2.1,error
ss_tt,27,180,2.3,error
fs_hl,85,180,2.3,error
ff_hh,27,180,2.1,error
ss_tt,27,36000.0,2.3,6.28885100e+01
fs_hl,85,36000.0,2.3,6.75063300e+01
ff_hh,27,36000.0,2.1,6.79280500e+01
fs_hh,85,18,2.1,error
fs_hl,0,18,2.3,error
ff_hh,85,18,2.5,error
fs_hh,85,180,2.1,error
fs_hl,0,180,2.3,error
ff_hh,85,180,2.5,error
tt,27,36000.0,2.3,6.47172400e+01
fs_hh,85,36000.0,2.1,6.88970000e+01
fs_hl,0,36000.0,2.3,6.71638300e+01
ff_hh,85,36000.0,2.5,6.59451200e+01
fs_hh,0,18,2.1,error
fs_hl,27,18,2.3,error
ff_hh,0,18,2.5,error
fs_hh,0,180,2.1,error
fs_hl,27,180,2.3,error
ff_hh,0,180,2.5,error
fs_hh,0,36000.0,2.1,error
fs_hl,27,36000.0,2.3,6.72450700e+01
ff_hh,0,36000.0,2.5,6.56345100e+01
ss_lh,27,18,2.5,error
tt_ll,27,180,2.5,error
tt_ll,85,180,2.3,error
ss_lh,27,180,2.5,error
tt_ll,27,36000.0,2.5,6.36220700e+01
tt_ll,85,36000.0,2.3,6.48538600e+01
ss_lh,27,36000.0,2.5,6.20193000e+01
tt_ll,85,18,2.3,error
tt_ll,0,18,2.3,error
ss_lh,85,18,2.3,error
tt_ll,0,180,2.3,error
ss_lh,85,180,2.3,error
ss_lh,85,36000.0,2.3,6.32171700e+01
tt_ll,0,36000.0,2.3,6.44983700e+01
tt_ll,27,18,2.3,error
ss_lh,0,18,2.3,error
ss_lh,0,180,2.3,error
tt_ll,27,180,2.3,error
ss_lh,0,36000.0,2.3,error
tt_ll,27,36000.0,2.3,6.46841000e+01
ss_lh,27,18,2.3,error
tt,85,18,2.1,error
tt,85,180,2.1,error
ss_lh,27,180,2.3,error
ss_lh,27,36000.0,2.3,6.29220100e+01
ss_ll,85,18,2.1,error
tt,0,18,2.1,error
tt,85,36000.0,2.1,6.63532800e+01
tt,0,180,2.1,error
ss_ll,85,180,2.1,error
tt,0,36000.0,2.1,6.57800800e+01
ss_ll,85,36000.0,2.1,6.47042900e+01
ss_ll,0,18,2.1,error
tt,27,18,2.1,error
tt,27,180,2.1,error
ss_ll,0,180,2.1,error
ss_ll,0,36000.0,2.1,6.41243900e+01
tt,27,36000.0,2.1,6.58892900e+01
ss_ll,27,18,2.1,error
tt,85,18,2.5,error
tt,85,180,2.5,error
ss_ll,27,180,2.1,error
tt,85,36000.0,2.5,6.38792100e+01
ss_ll,27,36000.0,2.1,6.41248800e+01
tt,0,18,2.5,error
ss_ll,85,18,2.5,error
tt,0,180,2.5,error
ss_ll,85,180,2.5,error
ss_ll,85,36000.0,2.5,6.20372400e+01
sf_hl,85,18,2.5,error
sf_tt,85,18,2.1,error
ff_lh,85,18,2.5,error
sf_hl,85,180,2.5,error
sf_tt,85,180,2.1,error
ff_lh,85,180,2.5,error
sf_hl,27,18,2.1,error
sf_tt,85,36000.0,2.1,6.40164200e+01
ff_lh,85,36000.0,2.5,6.59640100e+01
sf_hl,0,18,2.5,error
sf_tt,0,18,2.1,error
ff_lh,0,18,2.5,error
sf_hl,0,180,2.5,error
sf_tt,0,180,2.1,error
ff_lh,0,180,2.5,error
sf_hl,0,36000.0,2.5,error
sf_tt,0,36000.0,2.1,error
ff_lh,0,36000.0,2.5,error
sf_hl,27,18,2.5,error
sf_tt,27,18,2.1,error
ff_lh,27,18,2.5,error
sf_hl,27,180,2.5,error
sf_tt,27,180,2.1,error
ff_lh,27,180,2.5,error
sf_hl,27,36000.0,2.5,6.13613400e+01
sf_tt,27,36000.0,2.1,6.35511800e+01
ff_lh,27,36000.0,2.5,6.55782400e+01
sf_hl,85,18,2.3,error
sf_tt,85,18,2.5,error
ff_lh,85,18,2.3,error
sf_hl,85,36000.0,2.5,6.14914500e+01
sf_tt,85,180,2.5,error
ff_lh,85,180,2.3,error
sf_hl,85,36000.0,2.3,6.27009700e+01
sf_tt,85,36000.0,2.5,6.14773400e+01
ff_lh,85,36000.0,2.3,6.68475500e+01
sf_hl,0,18,2.3,error
sf_tt,0,18,2.5,error
ff_lh,0,18,2.3,error
sf_hl,0,180,2.3,error
sf_tt,0,180,2.5,error
ff_lh,0,180,2.3,error
sf_hl,85,180,2.3,error
sf_tt,0,36000.0,2.5,error
ff_lh,0,36000.0,2.3,6.65001300e+01
sf_hl,27,18,2.3,error
sf_tt,27,18,2.5,error
ff_lh,27,18,2.3,error
sf_hl,27,180,2.3,error
sf_tt,27,180,2.5,error
ff_lh,27,180,2.3,error
sf_hl,27,36000.0,2.3,6.23189800e+01
sf_tt,27,36000.0,2.5,6.13797700e+01
ff_lh,27,36000.0,2.3,6.64881800e+01
sf_lh,85,18,2.1,error
sf_tt,85,18,2.3,error
ff_ll,85,18,2.1,error
sf_lh,85,180,2.1,error
sf_tt,85,180,2.3,error
ff_hl,85,18,2.1,error
sf_lh,85,36000.0,2.1,6.40688500e+01
sf_tt,85,36000.0,2.3,6.26722800e+01
ff_ll,85,36000.0,2.1,6.82100000e+01
sf_lh,0,18,2.1,error
sf_tt,0,18,2.3,error
ff_ll,0,18,2.1,error
sf_lh,0,180,2.1,error
sf_tt,0,180,2.3,error
ff_ll,0,180,2.1,error
sf_lh,0,36000.0,2.1,error
sf_tt,0,36000.0,2.3,error
ff_ll,0,36000.0,2.1,error
fs_lh,85,18,2.1,error
sf_tt,27,18,2.3,error
ff_tt,0,18,2.1,error
ss_hl,85,18,2.3,error
tt_hh,27,18,2.3,error
sf_tt,27,180,2.3,error
ss_hl,85,180,2.3,error
fs_lh,85,180,2.1,error
ff_tt,0,180,2.1,error
tt_hh,27,180,2.3,error
sf_tt,27,36000.0,2.3,6.23269300e+01
ss_hl,85,36000.0,2.3,6.32602400e+01
fs_lh,85,36000.0,2.1,6.89211300e+01
ff_tt,0,36000.0,2.1,error
tt_hh,27,36000.0,2.3,6.47187000e+01
ss_hh,85,18,2.1,error
ss_hl,0,18,2.3,error
fs_lh,0,18,2.1,error
ff_tt,27,18,2.1,error
tt_lh,85,18,2.1,error
ss_hh,85,180,2.1,error
ss_hl,0,180,2.3,error
fs_lh,0,180,2.1,error
ff_tt,27,180,2.1,error
tt_lh,85,180,2.1,error
ss_hh,85,36000.0,2.1,6.46261600e+01
ss_hl,0,36000.0,2.3,error
fs_lh,0,36000.0,2.1,6.83255300e+01
ff_tt,27,36000.0,2.1,6.78229700e+01
tt_lh,85,36000.0,2.1,6.63468000e+01
ss_hh,0,18,2.1,error
ss_hl,27,18,2.3,error
fs_lh,27,18,2.1,error
ff_tt,85,18,2.5,error
tt_lh,0,18,2.1,error
ss_hh,0,180,2.1,error
ss_hl,27,180,2.3,error
fs_lh,27,180,2.1,error
ff_tt,85,180,2.5,error
tt_lh,0,180,2.1,error
ss_hh,0,36000.0,2.1,error
ss_hl,27,36000.0,2.3,6.29168400e+01
fs_lh,27,36000.0,2.1,6.85001400e+01
ff_tt,85,36000.0,2.5,6.59471300e+01
tt_lh,0,36000.0,2.1,error
ss_hh,27,18,2.1,error
ss_lh,85,18,2.1,error
fs_lh,85,18,2.5,error
ff_tt,0,18,2.5,error
tt_lh,27,18,2.1,error
ss_hh,27,180,2.1,error
ss_lh,85,180,2.1,error
fs_lh,85,180,2.5,error
ff_tt,0,180,2.5,error
tt_lh,27,180,2.1,error
ss_hh,27,36000.0,2.1,6.41517700e+01
ss_lh,85,36000.0,2.1,6.47107400e+01
fs_lh,85,36000.0,2.5,6.66520500e+01
ff_tt,0,36000.0,2.5,6.56293800e+01
tt_lh,27,36000.0,2.1,6.59241500e+01
ss_hh,85,18,2.5,error
ss_lh,0,18,2.1,error
fs_lh,0,18,2.5,error
ff_tt,27,18,2.5,error
tt_lh,85,18,2.5,error
sf_hh,85,180,2.1,error
ss_hh,85,180,2.5,error
ss_lh,0,180,2.1,error
fs_lh,0,180,2.5,error
ff_tt,27,180,2.5,error
tt_lh,85,180,2.5,error
sf_hh,85,36000.0,2.1,6.39772900e+01
ss_hh,85,36000.0,2.5,6.20666800e+01
ss_lh,0,36000.0,2.1,6.41313300e+01
fs_lh,0,36000.0,2.5,6.63262400e+01
ff_tt,27,36000.0,2.5,6.55750900e+01
tt_lh,85,36000.0,2.5,6.38806800e+01
sf_hh,0,18,2.1,error
ss_hh,0,18,2.5,error
ss_lh,27,18,2.1,error
fs_lh,27,18,2.5,error
ff_tt,85,18,2.3,error
tt_lh,0,18,2.5,error
sf_hh,0,180,2.1,error
ss_hh,0,180,2.5,error
ss_lh,27,180,2.1,error
fs_lh,27,180,2.5,error
ff_tt,85,180,2.3,error
tt_lh,0,180,2.5,error
sf_hh,0,36000.0,2.1,error
ss_hh,0,36000.0,2.5,6.19011900e+01
ss_lh,27,36000.0,2.1,6.41319700e+01
fs_lh,27,36000.0,2.5,6.62845200e+01
ff_tt,85,36000.0,2.3,6.68274800e+01
tt_lh,0,36000.0,2.5,6.35524400e+01
sf_hh,27,18,2.1,error
ss_hh,27,18,2.5,error
ss_lh,85,18,2.5,error
fs_lh,85,18,2.3,error
ff_tt,0,18,2.3,error
tt_lh,27,18,2.5,error
sf_hh,27,180,2.1,error
ss_hh,27,180,2.5,error
ss_lh,85,180,2.5,error
fs_lh,85,180,2.3,error
ff_tt,0,180,2.3,error
tt_lh,27,180,2.5,error
sf_hh,27,36000.0,2.1,6.35547600e+01
ss_hh,27,36000.0,2.5,6.19846600e+01
ss_lh,85,36000.0,2.5,6.20452700e+01
fs_lh,85,36000.0,2.3,6.75461800e+01
ff_tt,0,36000.0,2.3,6.64983100e+01
tt_lh,27,36000.0,2.5,6.36310900e+01
sf_hh,85,18,2.5,error
ss_hh,85,18,2.3,error
ss_lh,0,18,2.5,error
fs_lh,0,18,2.3,error
ff_tt,27,18,2.3,error
tt_lh,85,18,2.3,error
sf_hh,85,18,2.1,error
ss_hh,85,180,2.3,error
ss_lh,0,180,2.5,error
fs_lh,0,180,2.3,error
ff_tt,27,180,2.3,error
tt_lh,85,180,2.3,error
sf_hh,85,36000.0,2.5,6.14988200e+01
ss_hh,85,36000.0,2.3,6.32675900e+01
ss_lh,0,36000.0,2.5,6.18417100e+01
fs_lh,0,36000.0,2.3,6.71703300e+01
ff_tt,27,36000.0,2.3,6.65921500e+01
tt_lh,85,36000.0,2.3,6.48617900e+01
sf_ll,0,18,2.1,error
ss_ll,0,18,2.5,error
ff_hh,27,18,2.5,error
sf_ll,0,180,2.1,error
ss_ll,0,180,2.5,error
ff_hh,27,180,2.5,error
sf_ll,0,36000.0,2.1,error
ss_ll,0,36000.0,2.5,6.18331400e+01
ff_hh,27,36000.0,2.5,6.55838000e+01
sf_ll,27,18,2.1,error
ss_ll,27,18,2.5,error
ff_hh,85,18,2.3,error
sf_ll,27,180,2.1,error
ss_ll,27,180,2.5,error
ff_hh,85,180,2.3,error
sf_ll,27,36000.0,2.1,6.35519200e+01
ss_ll,27,36000.0,2.5,6.20116800e+01
ff_hh,85,36000.0,2.3,6.68216600e+01
sf_ll,85,18,2.5,error
ss_ll,85,18,2.3,error
ff_hh,0,18,2.3,error
sf_ll,85,180,2.5,error
ss_ll,85,180,2.3,error
ff_hh,0,180,2.3,error
sf_ll,85,36000.0,2.5,6.14613600e+01
ss_ll,85,36000.0,2.3,6.32093100e+01
ff_hh,0,36000.0,2.3,error
sf_ll,0,18,2.5,error
ss_ll,0,18,2.3,error
ff_hh,27,18,2.3,error
sf_ll,0,180,2.5,error
ss_ll,0,180,2.3,error
ff_hh,27,180,2.3,error
sf_ll,0,36000.0,2.5,error
ss_ll,0,36000.0,2.3,error
ff_hh,27,36000.0,2.3,6.66213000e+01
sf_hl,0,36000.0,2.3,error
sf_ll,27,18,2.5,error
ss_ll,27,18,2.3,error
ff_hl,85,180,2.1,error
sf_ll,27,180,2.5,error
ss_ll,27,180,2.3,error
sf_ll,27,36000.0,2.5,6.13967000e+01
ss_ll,27,36000.0,2.3,6.29146700e+01
ff_hl,85,36000.0,2.1,6.81854500e+01
sf_ll,85,18,2.3,error
ss_tt,85,18,2.1,error
ff_hl,0,18,2.1,error
sf_ll,85,180,2.3,error
ss_tt,85,180,2.1,error
ff_hl,0,180,2.1,error
sf_ll,85,36000.0,2.3,6.26415300e+01
ss_tt,85,36000.0,2.1,6.46617700e+01
ff_hl,0,36000.0,2.1,6.76772200e+01
sf_ll,0,18,2.3,error
ss_tt,0,18,2.1,error
ff_hl,27,18,2.1,error
ff_hl,27,180,2.1,error
sf_ll,0,180,2.3,error
ss_tt,0,180,2.1,error
sf_ll,0,36000.0,2.3,error
ss_tt,0,36000.0,2.1,error
ff_hl,27,36000.0,2.1,6.79200600e+01
sf_ll,27,18,2.3,error
ss_tt,27,18,2.1,error
ff_hl,85,18,2.5,error
ff_hl,85,180,2.5,error
ss_tt,27,180,2.1,error
sf_ll,27,180,2.3,error
ff_hl,85,36000.0,2.5,6.59372600e+01
ss_tt,27,36000.0,2.1,6.41524000e+01
sf_ll,27,36000.0,2.3,6.23334900e+01
