corner,temp,resistor,supply,psr100,psr100k
tt_hh,85,18,2.1,-4.64888500e+01,-1.53041000e+01
fs_hh,27,180,2.1,-7.59310100e+01,-2.47697300e+01
fs_ll,0,180,2.3,-5.74221300e+01,-2.82940300e+01
tt_hh,85,180,2.1,-4.88922400e+01,-2.40129700e+01
tt_lh,0,180,2.3,-5.72594600e+01,-2.65588200e+01
fs_hh,27,36000.0,2.1,-7.31349300e+01,-2.50173100e+01
fs_ll,0,36000.0,2.3,-5.72014900e+01,-2.84020800e+01
tt_hh,85,36000.0,2.1,-4.91888100e+01,-2.42930200e+01
tt_lh,0,36000.0,2.3,-5.69660700e+01,-2.66823400e+01
fs_hh,85,18,2.5,-5.40877500e+01,-2.29605000e+01
fs_ll,27,18,2.3,-8.56740700e+01,-2.60168100e+01
tt_hh,0,18,2.1,-5.82614800e+01,-1.91737200e+01
tt_lh,27,18,2.3,-8.32620900e+01,-2.41799500e+01
fs_hh,85,180,2.5,-5.43958700e+01,-2.38260200e+01
fs_ll,27,180,2.3,-7.83119300e+01,-2.76673100e+01
tt_hh,0,180,2.1,error,error
tt_lh,27,180,2.3,-7.45653200e+01,-2.59671200e+01
fs_hh,85,36000.0,2.5,-5.45644500e+01,-2.38716400e+01
fs_ll,27,36000.0,2.3,-7.59371500e+01,-2.77717400e+01
tt_hh,0,36000.0,2.1,error,error
tt_lh,27,36000.0,2.3,-7.23978600e+01,-2.60896400e+01
ff_ll,85,180,2.1,-4.96103300e+01,-2.70108800e+01
fs_hh,0,18,2.5,-6.08431000e+01,-2.49712400e+01
fs_tt,85,18,2.1,-4.68416500e+01,-1.67119000e+01
tt_hh,27,18,2.1,-6.45946000e+01,-1.79342600e+01
tt_ll,85,180,2.1,-4.81874800e+01,-2.66018000e+01
fs_hh,0,180,2.5,-6.04437300e+01,-2.57632900e+01
fs_tt,85,180,2.1,-4.82743700e+01,-2.46865100e+01
tt_hh,27,180,2.1,-7.82189200e+01,-2.52153200e+01
tt_ll,85,18,2.1,-4.55310900e+01,-1.72074500e+01
tt_lh,0,18,2.3,-5.80955600e+01,-2.49319800e+01
tt_ll,85,36000.0,2.1,-4.84828400e+01,-2.69075400e+01
fs_hh,0,36000.0,2.5,-6.02444700e+01,-2.58152400e+01
fs_tt,85,36000.0,2.1,-4.84931900e+01,-2.49321600e+01
tt_hh,27,36000.0,2.1,-7.36084300e+01,-2.54952100e+01
tt_ll,0,18,2.1,-5.84369500e+01,-2.14797200e+01
fs_hh,27,18,2.5,-8.29869800e+01,-2.43257800e+01
fs_tt,0,18,2.1,-5.60954800e+01,-2.05034600e+01
tt_hh,85,18,2.5,-5.46850400e+01,-2.34438400e+01
tt_ll,0,180,2.1,error,error
fs_hh,27,180,2.5,-8.01879900e+01,-2.51412700e+01
fs_tt,0,180,2.1,-5.44962500e+01,-2.66497100e+01
tt_hh,85,180,2.5,-5.51541300e+01,-2.44078300e+01
fs_hh,27,36000.0,2.5,-7.83952400e+01,-2.51908600e+01
