corner,temp,resistor,supply,temp_coeff
tt_hh,85,18,2.1,3.77164346e+01
fs_hh,27,180,2.1,4.24828933e+01
fs_ll,0,180,2.3,5.90437544e+01
tt_hh,85,180,2.1,3.70387144e+01
tt_lh,0,180,2.3,6.40993858e+01
fs_hh,27,36000.0,2.1,4.20967765e+01
fs_ll,0,36000.0,2.3,5.94990672e+01
tt_hh,85,36000.0,2.1,3.66827495e+01
tt_lh,0,36000.0,2.3,6.62789269e+01
fs_hh,85,18,2.5,3.08645574e+01
fs_ll,27,18,2.3,5.70184311e+01
tt_hh,0,18,2.1,3.77164346e+01
tt_lh,27,18,2.3,6.35816307e+01
fs_hh,85,180,2.5,3.06224722e+01
fs_ll,27,180,2.3,5.90437544e+01
tt_hh,0,180,2.1,error
tt_lh,27,180,2.3,6.40993858e+01
fs_hh,85,36000.0,2.5,3.03447034e+01
fs_ll,27,36000.0,2.3,5.94990672e+01
tt_hh,0,36000.0,2.1,error
tt_lh,27,36000.0,2.3,6.62789269e+01
ff_ll,85,180,2.1,4.54897753e+01
fs_hh,0,18,2.5,3.08645574e+01
fs_tt,85,18,2.1,2.92927002e+01
tt_hh,27,18,2.1,3.77164346e+01
tt_ll,85,180,2.1,5.79562535e+01
fs_hh,0,180,2.5,3.06224722e+01
fs_tt,85,180,2.1,2.97817264e+01
tt_hh,27,180,2.1,3.70387144e+01
tt_ll,85,18,2.1,5.69714549e+01
tt_lh,0,18,2.3,6.35816307e+01
tt_ll,85,36000.0,2.1,5.84401072e+01
fs_hh,0,36000.0,2.5,3.03447034e+01
fs_tt,85,36000.0,2.1,2.80200788e+01
tt_hh,27,36000.0,2.1,3.66827495e+01
tt_ll,0,18,2.1,5.69714549e+01
fs_hh,27,18,2.5,3.08645574e+01
fs_tt,0,18,2.1,2.92927002e+01
tt_hh,85,18,2.5,2.65342194e+01
tt_ll,0,180,2.1,error
fs_hh,27,180,2.5,3.06224722e+01
fs_tt,0,180,2.1,2.97817264e+01
tt_hh,85,180,2.5,2.62775520e+01
fs_hh,27,36000.0,2.5,3.03447034e+01
fs_tt,0,36000.0,2.1,2.80200788e+01
tt_hh,85,36000.0,2.5,2.60344992e+01
tt_ll,0,36000.0,2.1,error
fs_hh,85,18,2.3,3.56980263e+01
fs_tt,27,18,2.1,2.92927002e+01
tt_hh,0,18,2.5,2.65342194e+01
tt_ll,27,180,2.1,5.79562535e+01
fs_hh,85,180,2.3,3.53880811e+01
fs_tt,27,180,2.1,2.97817264e+01
tt_hh,0,180,2.5,2.62775520e+01
tt_ll,27,18,2.1,5.69714549e+01
tt_ll,27,36000.0,2.1,5.84401072e+01
fs_hh,85,36000.0,2.3,3.50653400e+01
fs_tt,27,36000.0,2.1,2.80200788e+01
tt_hh,0,36000.0,2.5,2.60344992e+01
tt_ll,85,18,2.5,7.14106308e+01
fs_hh,0,18,2.3,3.56980263e+01
fs_tt,85,18,2.5,3.95295260e+01
tt_hh,27,18,2.5,2.65342194e+01
tt_ll,85,180,2.5,7.18444686e+01
fs_hh,0,180,2.3,3.53880811e+01
fs_tt,85,180,2.5,4.03296127e+01
tt_hh,27,180,2.5,2.62775520e+01
fs_hh,0,36000.0,2.3,3.50653400e+01
fs_tt,85,36000.0,2.5,4.01848172e+01
tt_hh,27,36000.0,2.5,2.60344992e+01
fs_hh,27,18,2.3,3.56980263e+01
fs_tt,0,18,2.5,3.95295260e+01
tt_hh,85,18,2.3,3.09358551e+01
tt_ll,85,36000.0,2.5,7.22721608e+01
tt_ll,0,180,2.5,error
fs_hh,27,180,2.3,3.53880811e+01
fs_tt,0,180,2.5,4.03296127e+01
tt_hh,85,180,2.3,3.05932026e+01
tt_ll,0,18,2.5,7.14106308e+01
tt_ll,0,36000.0,2.5,error
fs_hh,27,36000.0,2.3,3.50653400e+01
fs_tt,0,36000.0,2.5,4.01848172e+01
tt_hh,85,36000.0,2.3,3.03060695e+01
tt_ll,27,18,2.5,7.14106308e+01
fs_hl,85,18,2.1,4.30203846e+01
fs_tt,27,18,2.5,3.95295260e+01
tt_hh,0,18,2.3,3.09358551e+01
fs_hl,85,180,2.1,4.24828945e+01
fs_tt,27,180,2.5,4.03296127e+01
tt_hh,0,180,2.3,3.05932026e+01
fs_hl,85,36000.0,2.1,4.20967793e+01
fs_tt,27,36000.0,2.5,4.01848172e+01
tt_hh,0,36000.0,2.3,error
ss_hh,0,18,2.3,2.73595133e+01
ff_ll,27,18,2.1,4.48549516e+01
ss_hh,0,180,2.3,error
ff_ll,27,180,2.1,4.54897753e+01
fs_ll,0,18,2.3,5.70184311e+01
ss_hh,0,36000.0,2.3,error
ff_ll,27,36000.0,2.1,4.59138020e+01
ss_hh,27,18,2.3,2.73595133e+01
ff_ll,85,18,2.5,5.58134116e+01
ss_hh,27,180,2.3,2.77229467e+01
ff_ll,85,180,2.5,5.61474463e+01
ss_hh,27,36000.0,2.3,2.45871562e+01
ff_ll,85,36000.0,2.5,5.65442046e+01
ss_hl,85,18,2.1,2.75815940e+01
ff_ll,0,18,2.5,5.58134116e+01
ss_hl,85,180,2.1,2.66143651e+01
ff_ll,0,180,2.5,error
ss_hl,85,36000.0,2.1,2.62828770e+01
ff_ll,0,36000.0,2.5,5.65442046e+01
ss_hl,0,18,2.1,2.75815940e+01
ff_ll,27,18,2.5,5.58134116e+01
ss_hl,0,180,2.1,2.66143651e+01
ff_ll,27,180,2.5,5.61474463e+01
ss_hl,0,36000.0,2.1,error
ff_ll,27,36000.0,2.5,5.65442046e+01
ss_hl,27,18,2.1,2.75815940e+01
ff_ll,85,18,2.3,5.11469570e+01
ss_hl,27,180,2.1,2.66143651e+01
ff_ll,85,180,2.3,5.15216126e+01
ss_hl,27,36000.0,2.1,2.62828770e+01
ff_ll,85,36000.0,2.3,5.19428434e+01
ss_hl,85,18,2.5,3.14617859e+01
ff_ll,0,18,2.3,5.11469570e+01
ss_hl,85,180,2.5,2.82487000e+01
ff_ll,0,180,2.3,5.15216126e+01
ss_hl,85,36000.0,2.5,2.85031537e+01
ff_ll,0,36000.0,2.3,5.19428434e+01
ss_hl,0,18,2.5,error
ff_ll,27,18,2.3,5.11469570e+01
ss_hl,0,180,2.5,error
ff_ll,27,180,2.3,5.15216126e+01
ss_hl,0,36000.0,2.5,2.85031537e+01
ff_ll,27,36000.0,2.3,5.19428434e+01
ss_hl,27,18,2.5,3.14617859e+01
ff_tt,85,18,2.1,3.60897412e+01
ss_hl,27,180,2.5,2.82487000e+01
ff_tt,85,180,2.1,3.55969487e+01
ss_hl,27,36000.0,2.5,2.85031537e+01
ff_tt,85,36000.0,2.1,3.52546968e+01
sf_hh,0,18,2.5,2.52404244e+01
sf_lh,27,18,2.1,6.06377213e+01
fs_lh,27,18,2.3,5.70184295e+01
ff_hl,0,18,2.5,4.41626172e+01
sf_hh,0,180,2.5,2.55486199e+01
sf_lh,27,180,2.1,6.27694777e+01
fs_lh,27,180,2.3,5.90437586e+01
ff_hl,0,180,2.5,4.38837906e+01
sf_hh,0,36000.0,2.5,error
sf_lh,27,36000.0,2.1,6.32995434e+01
fs_lh,27,36000.0,2.3,5.94990650e+01
ff_hl,0,36000.0,2.5,4.35754775e+01
sf_hh,27,18,2.5,2.52404244e+01
